job_id,title,company,location,url,is_easy_apply,experience_years,is_english,passed_filter,priority_tier,priority_label,ai_score,ai_reason,posted_time,applicants,job_description
4400750226,Senior Fullstack-Entwickler (Plattform-Performance &amp; Skalierung) (Python · Next.js/React) (m/w/d),JobNinja,,https://www.linkedin.com/jobs/view/4400750226,False,,False,False,99,,0.0,JD主体为德语,,,"Über uns

JobNinja gehört zu den führenden Online-Jobbörsen in Deutschland. Seit 2016 bringen wir erfolgreich Fach- und Führungskräfte mit Top-Arbeitgebern zusammen – und das mit einem selbst entwickelten Traffic Optimizer, der jeder Stellenanzeige die maximale Reichweite verschafft.

Jetzt wachsen wir weiter und suchen motivierte Köpfe, die mit uns die nächste Stufe zünden wollen.

Senior Full Stack Developer (Python, Next.js/React) (m/w/d)

– join us in Munich –

Deine Mission

Du gestaltest die Weiterentwicklung unserer Plattform aktiv mit – von neuen Features bis zu kompletten Architekturen.
Frontend, Backend, DevOps – du fühlst dich überall zuhause und lieferst schnell & sauber ab.
Du lieferst schnell umsetzbare, effiziente Lösungen über den gesamten Stack hinweg – mit Blick auf Qualität, Stabilität und Skalierbarkeit.
Du bringst dein Know-how ins Team ein: Code Reviews, Tech-Diskussionen, Feedback für den Head of Software und Impulse für die Strategie.
Dein Profil

Abgeschlossenes Studium im IT-Bereich oder vergleichbare Ausbildung.
3–5 Jahre Erfahrung mit mehreren dieser Technologien:
Python, Flask, SQLAlchemy
SQL/PostgreSQL, ElasticSearch
AWS, Heroku, Vercel, OpenAI
JavaScript, Next.js (React)
Testing & DevOps sind für dich keine Fremdwörter.
Nice-to-have: SEO- und AI-Know-how.
Englisch fließend, Deutsch ein Bonus.
Startup-Mindset: „You build it, you run it!“ – Verantwortung übernehmen, Dinge vorantreiben, Spaß am Gestalten.
Was Dich Bei Uns Erwartet
Ein dynamisches Team mit flachen Hierarchien, schnellen Entscheidungen und viel Raum für Kreativität.
Startup-Vibes: Du kannst viel bewegen und in unterschiedliche Themen eintauchen.
Top-Lage in der Münchner Innenstadt.
30 Urlaubstage für genug Ausgleich.
Regelmäßige Teamevents & eine entspannte, motivierte Arbeitsatmosphäre.
Austattung mit Linux oder Mac
Hundefreundliches Office
Jobticket
Klingt nach deinem nächsten Step?

Dann schick uns deine Bewerbung mit Gehaltsvorstellung & möglichem Starttermin in einer Datei.

Deine nächste Karrierechance wartet – let’s code the future together!"
4401476014,SAP Developer (gn) Sales & Distribution,jungwild.io,方向不匹配，SAP开发通常非现代前端/全栈，且涉及销售分发，可能偏向功能配置而非工程开发。,2026-04-15 19:10:33
4365762051,Software Engineer mit Schwerpunkt im Data Engineering (m/w/d),CONTACT Software,方向不匹配，偏向数据工程，与候选人前端/全栈或AI应用工程目标不符。,2026-04-15 19:10:33
4402518850,SAP Full-stack developer GTS (all genders),MTU Aero Engines,方向不匹配，虽有Full-stack字样，但SAP开发通常非现代前端/全栈技术栈（React/Vue/Node）。,2026-04-15 19:10:33
4365519528,Software Engineer mit Schwerpunkt im Data Engineering (m/w/d),CONTACT Software,方向不匹配，偏向数据工程，与候选人前端/全栈或AI应用工程目标不符。,2026-04-15 19:10:33
4389982542,Senior Softwareentwickler SPS - TwinCAT / Automatisierung (m/w/d),Workwise,方向不匹配，工业自动化/PLC开发，与候选人目标完全不符。,2026-04-15 19:10:33
4402533105,Senior SAP Anwendungsentwickler und -architekt m/w/d (6404),Jobs via eFinancialCareers,公司在黑名单中（Jobs via eFinancialCareers）。,2026-04-15 19:10:33
4399937525,Junior System Engineer (w/m/d) developing graph database internals in C++/Rust,Tentris,方向不匹配，系统工程，涉及底层数据库开发（C++/Rust），与候选人目标不符。,2026-04-15 19:10:33
4402294603,AI Requirements Engineer Public Sector (m/w/d),Sopra Steria,岗位偏向AI需求分析，而非AI应用工程开发，与候选人工程开发目标不符。,2026-04-15 19:10:33
4370369870,Senior Backend Search Engineer (Elasticsearch/Scala),commercetools,纯后端岗位，技术栈（Scala）与候选人主要目标和偏好不符，且无前端或AI应用工程职责。,2026-04-15 19:10:33
4399983073,System Engineer (m/w/x),K-tronik GmbH,岗位标题 'System Engineer' 过于宽泛，无法判断是否与候选人的前端/全栈开发或AI应用工程目标匹配。在无详细JD的情况下，默认过滤为不确定岗位。,2026-04-15 19:10:33
4402288726,Liferay Developer (m/w/d),Instaffo,公司在黑名单中 (Instaffo),2026-04-15 19:17:19
4401477102,Software Engineer for Software Tools & Automation (d/f/m) - Jobbird.com,Jobster,标题信息模糊，无法判断与前端/全栈目标匹配,2026-04-15 19:17:19
4397178257,Senior Systemingenieur Industriedokumentation (w/m/d),HENSOLDT,方向不匹配，非前端/全栈开发岗位,2026-04-15 19:17:19
4402521885,Infrastructure Engineer (w/m/d),Capgemini,方向不匹配，偏向基础设施而非应用开发,2026-04-15 19:17:19
